	TCGA-BH-A0B5	TCGA-BH-A0C3
LOC100506869	0.0195584	0
LOC102724604	0	0.022650738
LOC102724601	0.116809929	0.067678372
ATRX	8.745089307	6.711540964
LOC107986703	0.043465905	0
DISC1	0.349798491	0.839521733
TCOF1	8.157272436	4.346640158
SPPL3	14.73895496	8.88610333
OPA3	4.075292691	3.417341535
OPA1	12.84929957	12.47052118
RNF219-AS1	0.019235765	0.006686993
LOC105369748	0.111162747	0.07551102
ITGA8	1.585708748	1.965014748
ITGA9	2.694450266	5.361591526
ITGA1	2.488969742	7.502200057
ITGA2	29.2848103	4.493236438
ITGA3	9.26485839	7.915511072
ITGA4	1.294707442	2.779854235
ITGA5	18.97908899	17.539734
ITGA6	17.12822803	22.60694865
ITGA7	2.257792224	13.70856598
TRHR	0	0.011676334
UFSP1	0.526260394	1.632740731
UFSP2	7.934286059	9.532246855
LOC101928371	0.077427531	0.04486065
LOC101928372	0	0
FAM212A	1.073022745	2.053485458
CHST9	0.07777613	0.025507146
CHST8	0.121881133	6.779190872
CHST1	1.978623501	1.121042227
CHST3	3.23124418	2.555227531
CHST2	0.778620263	1.547932286
CHST5	0.035628435	0.011795839
CHST4	0.006335046	0.02936364
CHST7	0.989822535	1.523606029
CHST6	0.311451765	0.131868539
ITGAX	5.485496798	3.91636199
BCL2A1	2.468695788	1.385355772
ITGAV	36.68908318	26.68460298
ITGAL	3.984094826	7.253486015
ITGAM	11.92381422	4.17105452
ITGAD	0.475316575	0.910574064
COPRS	18.19524686	21.69994524
LOC285804	0.008657572	0.020064402
IGF2R	10.02746573	14.11618296
SLC36A4	0.820533968	1.434316793
SLC36A3	0	0.004282599
SLC36A2	0	0.036768264
SLC36A1	3.570593355	3.519983169
ARTN	0.763351566	1.341574777
ART1	0.011525724	0.026711505
ART3	0.04642286	0.053793776
ART5	0.219977066	0.417116497
ART4	0.074585626	0.255526743
CRTAM	0.619441961	0.476088886
CADPS2	12.912132	6.281077237
RLF	5.565695751	5.386005446
USP17L30	0	0
CRTAP	39.7109965	41.91912453
MDH1	22.46525302	22.21967085
HPYR1	0	0.079808101
CPEB4	5.463243694	6.286814776
CPEB1	0.26139332	0.305281773
CPEB3	1.661392125	1.089866795
CPEB2	7.343315496	5.81753462
SRBD1	5.670711065	4.846764159
ABAT	10.9546081	26.92614671
POU5F1B	0.104099221	0.032898507
LOC284865	0.007588975	0.035175743
PHOX2A	0	0.010982561
PHOX2B	0	0
NLRP14	0.009320969	0.010800931
UPK2	0.229316056	0.194865982
CFH	5.193911534	12.18391426
CFI	2.831857015	4.889373791
ANKFY1	6.287900388	6.05547922
CFB	18.94521113	5.328544294
CFP	0.295598552	0.702192692
RNU5B-1	0	0.168904214
AAAS	14.26453746	7.864617749
SIDT1	7.585630976	0.877547499
SIDT2	8.503568796	8.379035866
SAGE1	0	0
LVCAT8	0	0.262680685
UFD1	4.205769163	4.714314582
LVCAT5	0	0
LVCAT1	0.155725883	0.069404494
AAGAB	20.55191157	21.0292576
C4orf19	5.438714561	0.905375365
SLC7A6OS	1.004673627	1.085582297
C4orf17	0	0
INGX	0	0
RFPL4AL1	0	0
ETV3L	0.025670401	0.029746289
TEN1-CDK3	0.299299222	0.140739068
ZNF197-AS1	0.298540303	0.125797039
MKRN2OS	1.506857661	1.756825455
MSL3P1	0.014844809	0.051605502
MDC1-AS1	0	0
TBC1D8-AS1	0.50492718	0.498124291
ZNF117	6.506452885	3.337260354
ZNF114	0.098590304	0.126938055
ZNF112	3.128551164	1.705721865
SEZ6L	0.196304894	0.290508632
MIR6780B	0.214028319	0
MIR6780A	0	0
PRKAR2A	12.53611926	14.23757781
PRKAR2B	18.28266777	37.24373113
MAGT1	21.88472576	22.55882175
TMBIM6	238.7297679	186.8039099
S1PR4	0.569027213	1.365850419
ITGA2B	0.38379353	0.342372583
PHACTR4	10.6947845	7.872704364
NLGN2	9.267541896	5.514250857
NLGN3	0.70486161	0.518433902
PHACTR3	0.149802265	0.05786251
NUP107	11.14277218	5.522274539
KRTAP2-3	0	0
KRTAP2-2	0	0
KRTAP2-1	0	0
KRTAP2-4	0	0
MIR4708	0	0
MIR4709	43.0548055	51.85807882
MIR4704	0	0
MIR4705	0	0
MIR4706	0.206198014	0
MIR4707	9.08343266	9.622816973
MIR4700	8.904896428	8.323677673
MIR4701	1.073538869	0
