,drug_name1,drug_name2,id_1,id_2,similarity
0,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
1,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
2,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
3,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
4,DOXORUBICIN,DOCETAXEL,DB00997,DB01248,0.714975845
5,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
6,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
7,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
8,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
9,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
10,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
11,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
12,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
13,CYCLOPHOSPHAMIDE,DOCETAXEL,DB00531,DB01248,0.137755102
14,CYCLOPHOSPHAMIDE,DOCETAXEL,DB00531,DB01248,0.137755102
15,CYCLOPHOSPHAMIDE,DOCETAXEL,DB00531,DB01248,0.137755102
16,DOCETAXEL,CYCLOPHOSPHAMIDE,DB01248,DB00531,0.137755102
17,CYCLOPHOSPHAMIDE,DOCETAXEL,DB00531,DB01248,0.137755102
18,CYCLOPHOSPHAMIDE,DOCETAXEL,DB00531,DB01248,0.137755102
19,CYCLOPHOSPHAMIDE,DOCETAXEL,DB00531,DB01248,0.137755102
20,CYCLOPHOSPHAMIDE,DOCETAXEL,DB00531,DB01248,0.137755102
21,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
22,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
23,CYCLOPHOSPHAMIDE,DOCETAXEL,DB00531,DB01248,0.137755102
24,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
25,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
26,DOXORUBICIN,DOCETAXEL,DB00997,DB01248,0.714975845
27,CYCLOPHOSPHAMIDE,DOCETAXEL,DB00531,DB01248,0.137755102
28,CYCLOPHOSPHAMIDE,DOCETAXEL,DB00531,DB01248,0.137755102
29,DOXORUBICIN,DOCETAXEL,DB00997,DB01248,0.714975845
30,CYCLOPHOSPHAMIDE,DOCETAXEL,DB00531,DB01248,0.137755102
31,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
32,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
33,DOXORUBICIN,CYCLOPHOSPHAMIDE,DB00997,DB00531,0.132653061
34,DOCETAXEL,CYCLOPHOSPHAMIDE,DB01248,DB00531,0.137755102
35,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
