	TCGA-BH-A0B5	TCGA-BH-A0C3
LOC100506869	0	0
LOC102724604	0.009011348	0.055023516
LOC102724601	0	0
ATRX	0.040364304	0.049293087
LOC107986703	5.709897147	7.177601105
DISC1	0	0
TCOF1	0.312674796	0.723874297
SPPL3	3.346006804	3.912388585
OPA3	7.486731388	13.7056947
OPA1	2.122292847	3.307246217
RNF219-AS1	12.15945029	10.50005777
LOC105369748	0.001772539	0.008658535
ITGA8	0.176610987	0.224305339
ITGA9	0.912732995	1.329472806
ITGA1	3.416555228	7.62050763
ITGA2	7.47057474	5.847722374
ITGA3	0.336825062	15.95536848
ITGA4	1.897904694	19.26395176
ITGA5	0.343124681	2.015657417
ITGA6	9.296553887	6.644554643
ITGA7	23.18133152	46.44798663
TRHR	81.84899102	4.80380589
UFSP1	0	0
UFSP2	0.703943732	0.573106377
LOC101928371	13.0931003	13.21841729
LOC101928372	0	0.032673953
FAM212A	0	0
CHST9	1.617987594	3.713949749
CHST8	0.006761249	2.171556866
CHST1	0.096996004	1.402721047
CHST3	0.183670349	0.919079393
CHST2	8.952709931	9.065868643
CHST5	2.383678637	2.778077503
CHST4	0	0.051548521
CHST7	0.01167525	0.470509814
CHST6	2.259836725	1.521173047
ITGAX	0.011038343	0.062907036
BCL2A1	0.455921488	1.358312344
ITGAV	0.600905504	0.751300885
ITGAL	13.31686763	14.37636405
ITGAM	0.558514236	4.315795637
ITGAD	1.740959094	1.696152077
COPRS	0.052983296	0.112152669
LOC285804	43.45600655	18.44249918
IGF2R	0.031911155	0.029227545
SLC36A4	13.60992503	12.47080399
SLC36A3	0.878370596	1.143396041
SLC36A2	0	0
SLC36A1	0.047513037	0.008926639
ARTN	1.191984493	2.450629143
ART1	0.04689427	0.164644104
ART3	0	0.03891029
ART5	0.076049402	0.075458424
ART4	0.119780057	0.888907987
CRTAM	0.107576211	0.321133025
CADPS2	0.029122657	0.483680358
RLF	2.396829946	8.289729723
USP17L30	3.462360284	6.845015206
CRTAP	0	0
MDH1	74.35412246	41.05256426
HPYR1	68.59532442	21.04042341
CPEB4	0	0
CPEB1	4.503394137	5.266173625
CPEB3	0.301560412	0.544294091
CPEB2	1.051416799	1.907993153
SRBD1	5.548846034	3.462370632
ABAT	3.807910017	4.699267814
POU5F1B	0.876250047	4.374053269
LOC284865	0.110459628	0.15974271
PHOX2A	0.034965488	0.034160021
PHOX2B	0	0.021330865
NLRP14	0	0
UPK2	0.028174722	0.584920867
CFH	14.35636129	8.627034676
